Influenza-Associated Hospitalizations by Virus Type Number (data downloaded on 3/29/2026)
SEASON,WEEK_NUMBER,INFLUENZA A,INFLUENZA B,INFLUENZA A AND B,UNKNOWN
2025-26,2025-40,20,4,0,0
2025-26,2025-41,40,14,1,0
2025-26,2025-42,45,10,0,0
2025-26,2025-43,65,7,1,0
2025-26,2025-44,80,8,0,0
2025-26,2025-45,137,17,2,0
2025-26,2025-46,218,15,0,1
2025-26,2025-47,390,22,1,0
2025-26,2025-48,617,13,1,1
2025-26,2025-49,973,24,1,0
2025-26,2025-50,1570,33,2,9
2025-26,2025-51,2793,39,2,13
2025-26,2025-52,4525,69,5,29
2025-26,2025-53,4279,89,4,30
2025-26,2026-1,2500,64,3,11
2025-26,2026-2,1430,62,3,7
2025-26,2026-3,1150,71,1,5
2025-26,2026-4,1095,93,2,1
2025-26,2026-5,1068,131,2,2
2025-26,2026-6,861,170,1,2
2025-26,2026-7,731,276,2,2
2025-26,2026-8,552,279,1,4
2025-26,2026-9,393,326,2,1
2025-26,2026-10,263,273,2,2
2025-26,2026-11,144,242,1,2
2025-26,2026-12,0,0,0,0
2025-26,2026-13,0,0,0,0
2025-26,2026-14,0,0,0,0
2025-26,2026-15,0,0,0,0
2025-26,2026-16,0,0,0,0
2025-26,2026-17,0,0,0,0

"1. The Influenza Hospitalization Surveillance Network (FluSurv-NET) data are preliminary and subject to change as more data become available. In particular, case counts and rates for recent hospital admissions are subject to reporting delays. As data are received each week, prior case counts and rates are updated accordingly. FluSurv-NET conducts population-based surveillance for laboratory-confirmed influenza-associated hospitalizations in children and adults. The FluSurv-NET catchment area includes more than 90 selected counties or county equivalents in California, Colorado, Connecticut, Georgia, Maryland, Michigan, Minnesota, New Mexico, New York, North Carolina, Oregon, Tennessee, Utah, Washington. Additional counties in Idaho (2010 to 2011), Iowa (2012 to 2013, 2020-2022), Ohio (2010 to 2025), Oklahoma (2010 to 2011), and Rhode Island (2010 to 2013) have also contributed to the network. Incidence rates (per 100,000 population) are calculated using either the National Center for Health Statistics' (NCHS) vintage bridged-race postcensal population estimates (for years prior to 2020) or U.S. Census vintage unbridged-race postcensal population estimates (for 2020 through present) for the counties or county equivalents included in the surveillance catchment area. The rates provided are likely to be underestimated as influenza-associated hospitalizations might be missed due to test availability and provider or facility testing practices."
"2. In all influenza seasons through 2024-25, except 2009-10 and 2021-22, case counts reflect cases hospitalized during October 1-April 30 of each influenza season. Prior to 2025-26, cases hospitalized during Week 39 are included in the totals for Week 40, while cases hospitalized during Week 18 are included in the totals for Week 17. In 2009-10, case counts reflect cases hospitalized during Sept 1, 2009 through April 30, 2010 (Week 35-Week 17). In the 2021-22, rates reflect cases hospitalized beginning October 1, 2021 (Week 39), but given late influenza season activity, the season was extended to June 11, 2022 (Week 23). In 2023-2024, surveillance was extended to September 28, 2024 (Week 39) for situational awareness during the ongoing outbreak of highly pathogenic avian influenza (HPAI) A(H5N1) virus among birds, poultry, dairy cattle, and other animals in the United States (H5N1 Bird Flu: Current Situation Summary | Avian Influenza (Flu) (cdc.gov)). Starting with the 2025-26 influenza season, case counts reflect year-round surveillance."
